568.1833 	DATA 	Keypress: j
568.2544 	DATA 	Keypress: semicolon
568.3191 	DATA 	Keypress: o
571.0863 	DATA 	Keypress: l
571.2781 	DATA 	Keypress: j
571.3609 	DATA 	Trial 121 - Stimuli img/target_14.png
574.5831 	DATA 	Keypress: k
574.6059 	DATA 	Keypress: semicolon
574.8785 	DATA 	Trial 122 - Stimuli img/target_7.png
576.5190 	DATA 	Keypress: k
577.0299 	DATA 	Keypress: space
578.0383 	DATA 	Keypress: space
578.7657 	DATA 	Keypress: k
578.8616 	DATA 	Keypress: space
579.0455 	DATA 	Trial 123 - Stimuli img/target_12.png
580.8150 	DATA 	Keypress: j
582.0704 	DATA 	Keypress: semicolon
582.7977 	DATA 	Keypress: semicolon
582.8781 	DATA 	Keypress: j
583.0793 	DATA 	Trial 124 - Stimuli img/target_7.png
584.6865 	DATA 	Keypress: k
585.1824 	DATA 	Keypress: space
585.6466 	DATA 	Keypress: k
585.6863 	DATA 	Keypress: space
585.9288 	DATA 	Trial 125 - Stimuli img/target_12.png
587.5337 	DATA 	Keypress: j
588.5104 	DATA 	Keypress: semicolon
589.2942 	DATA 	Keypress: j
589.7414 	DATA 	Keypress: semicolon
590.1985 	DATA 	Keypress: semicolon
590.2055 	DATA 	Keypress: j
590.4800 	DATA 	Trial 126 - Stimuli img/target_9.png
592.4063 	DATA 	Keypress: semicolon
592.7813 	DATA 	Keypress: space
593.3020 	DATA 	Keypress: space
594.1102 	DATA 	Keypress: semicolon
594.2380 	DATA 	Keypress: space
594.3807 	DATA 	Trial 127 - Stimuli img/target_12.png
596.3983 	DATA 	Keypress: j
596.5011 	DATA 	Keypress: semicolon
596.6969 	DATA 	Trial 128 - Stimuli img/target_13.png
599.3654 	DATA 	Keypress: l
601.1262 	DATA 	Keypress: k
601.1576 	DATA 	Keypress: l
601.3979 	DATA 	Trial 129 - Stimuli img/target_12.png
603.5178 	DATA 	Keypress: l
606.9571 	DATA 	Keypress: j
607.0768 	DATA 	Keypress: semicolon
607.2319 	DATA 	Trial 130 - Stimuli img/target_13.png
