sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,86,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,87,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,88,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,89,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,90,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,91,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,92,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,93,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,94,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,95,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,96,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,97,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,98,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,99,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,100,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,101,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,102,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,103,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,104,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,105,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,106,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,107,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,108,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,109,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,110,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,111,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,112,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,113,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,114,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,115,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,116,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,117,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,118,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,119,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,120,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,121,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,122,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,123,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,124,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,125,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,126,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,127,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,128,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,129,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,130,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,131,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,132,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,133,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,134,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,135,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,136,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,137,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,138,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,139,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,140,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,141,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,142,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,143,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,144,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,145,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,146,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,147,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,148,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,149,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,150,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,151,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,152,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,153,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,154,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,155,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,156,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,157,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,158,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,159,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,160,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,161,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,162,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,163,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,164,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,165,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,166,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,167,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,168,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,169,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,170,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,171,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,172,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,173,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,174,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,175,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,176,w,img/target_2.png,60,1,,,,'--',,'--',
